instant_utc,debit_m3s
2026-08-16T09:30:00Z,0.049
2026-08-16T09:40:00Z,0.052
2026-08-16T09:50:00Z,0.05
2026-08-16T10:00:00Z,0.051
2026-08-16T10:10:00Z,0.052
2026-08-16T10:20:00Z,0.052
2026-08-16T10:30:00Z,0.049
2026-08-16T10:40:00Z,0.051
2026-08-16T10:50:00Z,0.052
2026-08-16T11:00:00Z,0.049
2026-08-16T11:10:00Z,0.052
2026-08-16T11:20:00Z,0.052
2026-08-16T11:30:00Z,0.052
2026-08-16T11:40:00Z,0.052
2026-08-16T11:50:00Z,0.052
2026-08-16T12:00:00Z,0.052
2026-08-16T12:10:00Z,0.052
2026-08-16T12:20:00Z,0.051
2026-08-16T12:30:00Z,0.052
2026-08-16T12:40:00Z,0.051
2026-08-16T12:50:00Z,0.049
2026-08-16T13:00:00Z,0.051
2026-08-16T13:10:00Z,0.052
2026-08-16T13:20:00Z,0.052
2026-08-16T13:30:00Z,0.051
2026-08-16T13:40:00Z,0.052
2026-08-16T13:50:00Z,0.053
2026-08-16T14:00:00Z,0.053
2026-08-16T14:10:00Z,0.053
2026-08-16T14:20:00Z,0.053
2026-08-16T14:30:00Z,0.052
2026-08-16T14:40:00Z,0.053
2026-08-16T14:50:00Z,0.052
2026-08-16T15:00:00Z,0.05
2026-08-16T15:10:00Z,0.052
2026-08-16T15:20:00Z,0.052
2026-08-16T15:30:00Z,0.054
2026-08-16T15:40:00Z,0.052
2026-08-16T15:50:00Z,0.053
2026-08-16T16:00:00Z,0.054
2026-08-16T16:10:00Z,0.053
2026-08-16T16:20:00Z,0.053
2026-08-16T16:30:00Z,0.058
2026-08-16T16:40:00Z,0.055
2026-08-16T16:50:00Z,0.055
2026-08-16T17:00:00Z,0.055
2026-08-16T17:10:00Z,0.055
2026-08-16T17:20:00Z,0.059
2026-08-16T17:30:00Z,0.054
2026-08-16T17:40:00Z,0.057
2026-08-16T17:50:00Z,0.052
2026-08-16T18:00:00Z,0.059
2026-08-16T18:10:00Z,0.059
2026-08-16T18:20:00Z,0.059
2026-08-16T18:30:00Z,0.057
2026-08-16T18:40:00Z,0.06
2026-08-16T18:50:00Z,0.059
2026-08-16T19:00:00Z,0.055
2026-08-16T19:10:00Z,0.059
2026-08-16T19:20:00Z,0.058
2026-08-16T19:30:00Z,0.057
2026-08-16T19:40:00Z,0.057
2026-08-16T19:50:00Z,0.058
2026-08-16T20:00:00Z,0.058
2026-08-16T20:10:00Z,0.058
2026-08-16T20:20:00Z,0.055
2026-08-16T20:30:00Z,0.058
2026-08-16T20:40:00Z,0.055
2026-08-16T20:50:00Z,0.058
2026-08-16T21:00:00Z,0.059
2026-08-16T21:10:00Z,0.057
2026-08-16T21:20:00Z,0.058
2026-08-16T21:30:00Z,0.058
2026-08-16T21:40:00Z,0.057
2026-08-16T21:50:00Z,0.055
2026-08-16T22:00:00Z,0.058
2026-08-16T22:10:00Z,0.055
